agent_id	 startSearchTime	 parkTime	 searchTime	 distanceToDestination	 parkingLotId
00#-8841611526406057960	 53	 67	 14	 1.093463e+002	 sp-20_b
11#-6791017654137906270	 95	 100	 5	 5.358076e+001	 sp-42_a
22#6915810122660015811	 76	 77	 1	 5.358076e+001	 sp-40_a
33#9222875157662466762	 93	 96	 3	 1.143280e+002	 sp-66_a
44#2936233882739726020	 85	 87	 2	 5.358076e+001	 sp-40_a
55#4193905798619879543	 111	 120	 9	 1.093463e+002	 sp-66_b
66#2243382395536737501	 79	 83	 4	 1.125651e+002	 sp-16_a
77#-2760141532706931408	 111	 116	 5	 1.143280e+002	 sp-66_a
88#-8136475729113448470	 91	 93	 2	 1.125651e+002	 sp-16_a
99#-995960976267486930	 143	 154	 11	 4.643934e+001	 sp-62_b
1010#-6405067459617523592	 101	 103	 2	 1.125651e+002	 sp-16_a
1111#-7733467099047988442	 145	 150	 5	 5.358076e+001	 sp-42_a
1212#-6495624990357979048	 125	 127	 2	 5.358076e+001	 sp-40_a
1313#5988364664927808987	 159	 160	 1	 5.358076e+001	 sp-42_a
1414#7146887544857241867	 128	 137	 9	 5.358076e+001	 sp-40_a
1515#1924445933925482144	 157	 170	 13	 5.358076e+001	 sp-42_a
1616#3775425394964683548	 149	 161	 12	 4.643934e+001	 sp-38_b
1717#8729680453212084971	 181	 194	 13	 4.643934e+001	 sp-42_b
1818#-2636038289221937490	 135	 143	 8	 1.143280e+002	 sp-36_a
1919#-8360835017069004234	 192	 204	 12	 4.643934e+001	 sp-38_b
2020#1876566274985429690	 151	 153	 2	 1.125651e+002	 sp-16_a
2121#4581024320739533784	 202	 214	 12	 4.643934e+001	 sp-42_b
2222#1871148106570749156	 160	 163	 3	 1.125651e+002	 sp-16_a
2323#-4025506953120878232	 211	 224	 13	 4.643934e+001	 sp-42_b
2424#-6537085099683188871	 189	 201	 12	 4.643934e+001	 sp-62_b
2525#-1207692746891981424	 215	 220	 5	 5.358076e+001	 sp-42_a
2626#-2948562268865582685	 186	 197	 11	 1.093463e+002	 sp-20_b
2727#8643875857870290377	 227	 230	 3	 5.358076e+001	 sp-42_a
2828#1127786537158613669	 209	 221	 12	 4.643934e+001	 sp-40_b
2929#8757436532596474613	 237	 240	 3	 5.358076e+001	 sp-42_a
3030#2774852306982566903	 198	 203	 5	 1.125651e+002	 sp-16_a
3131#1380353313114933155	 248	 264	 16	 4.643934e+001	 sp-38_b
3232#-5977097554370557820	 229	 241	 12	 4.643934e+001	 sp-38_b
3333#-5446518575953967835	 260	 274	 14	 4.643934e+001	 sp-42_b
3434#8007267579418476264	 239	 251	 12	 4.643934e+001	 sp-40_b
3535#5647717957510582140	 265	 284	 19	 4.643934e+001	 sp-62_b
3636#8015069276737268754	 245	 247	 2	 5.358076e+001	 sp-40_a
3737#486549885298689831	 283	 294	 11	 4.643934e+001	 sp-42_b
3838#162070680397300916	 242	 243	 1	 1.125651e+002	 sp-16_a
3939#-113762503115281854	 285	 304	 19	 4.643934e+001	 sp-42_b
4040#-153224666596443761	 268	 281	 13	 4.643934e+001	 sp-62_b
4141#6514021510455672451	 298	 370	 72	 4.643934e+001	 sp-40_b
4242#-4164263917485009322	 280	 291	 11	 4.643934e+001	 sp-42_b
4343#8952415511360017297	 306	 339	 33	 1.535747e+002	 sp-46
4444#465455433337849102	 286	 287	 1	 5.358076e+001	 sp-40_a
4545#4531560246640128846	 303	 306	 3	 1.143280e+002	 sp-66_a
